week,weekly_open_rate,weekly_ctr,retain_open_rate,retain_ctr
2014-05-26 00:00:00,0.0,0.0,0.8378378378378378,0.9032258064516129
2014-06-02 00:00:00,0.28169014084507044,0.4170731707317073,0.8693467336683417,0.8670520231213873
2014-06-09 00:00:00,0.299034299034299,0.4198218262806236,0.9052631578947369,0.9069767441860465
2014-06-16 00:00:00,0.30628019323671496,0.3943217665615142,0.8974358974358975,0.8952380952380953
2014-06-23 00:00:00,0.2890551917680075,0.40129449838187703,0.8716577540106952,0.9325153374233128
2014-06-30 00:00:00,0.2928528164748637,0.39193381592554294,0.9054054054054054,0.8955223880597015
2014-07-07 00:00:00,0.3053839364518976,0.4344894026974952,0.897196261682243,0.890625
2014-07-14 00:00:00,0.3020863103743927,0.3935666982024598,0.8982300884955752,0.9408866995073891
2014-07-21 00:00:00,0.28702672605790647,0.4064015518913676,0.8737864077669902,0.9166666666666666
2014-07-28 00:00:00,0.31840259039395574,0.37796610169491524,0.8956521739130435,0.9077669902912622
2014-08-04 00:00:00,0.3026627998945426,0.23257839721254356,0.912621359223301,0.8776595744680851
2014-08-11 00:00:00,0.2966384398255068,0.222318339100346,0.8973214285714286,0.8606965174129353
2014-08-18 00:00:00,0.29810568295114653,0.23076923076923078,0.8754863813229572,0.9377777777777778
2014-08-25 00:00:00,0.31427876429092677,0.21130030959752322,0.9163498098859315,0.9128630705394191
